2026-01-19T22:50:52.166766 | INFO     | session_manager | Stopping managed session 0edc15f0-7208-4020-8f11-c6e6e20183e9
2026-01-19T22:51:02.123975 | INFO     | session_manager | Successfully stopped managed session 0edc15f0-7208-4020-8f11-c6e6e20183e9
2026-01-19T22:51:02.124437 | INFO     | session_manager | Stopped session 0edc15f0-7208-4020-8f11-c6e6e20183e9
2026-01-19T22:51:02.128841 | INFO     | resource_manager | Successfully cleaned orphan sandbox: default/my-pinned-sandbox
2026-01-19T22:51:02.129004 | INFO     | resource_manager | Resource event: orphan_cleanup_completed
2026-01-19T22:51:02.129116 | INFO     | resource_manager | Orphan cleanup cycle #2: cleaned 1 orphans in 10.58s
2026-01-19T22:51:02.153542 | INFO     | session_manager | Attempting to attach to pinned sandbox 'my-pinned-sandbox'
2026-01-19T22:51:02.592784 | INFO     | session_manager | Created managed session 525ae86f-81b2-449e-bf8c-5e326977ae34 with template=python, flavor=small, sandbox_name=sandbox-20260119_225102_592681
2026-01-19T22:51:02.592973 | INFO     | session_manager | Successfully created session 525ae86f-81b2-449e-bf8c-5e326977ae34 for pinned sandbox 'my-pinned-sandbox'
2026-01-19T22:51:02.606050 | INFO     | wrapper      | Session event: command_execution_started | {"session_id":"525ae86f-81b2-449e-bf8c-5e326977ae34"}
2026-01-19T22:51:02.743655 | INFO     | wrapper      | Command execution completed: session_id=525ae86f-81b2-449e-bf8c-5e326977ae34, command=sh, exit_code=0, time=137ms, session_created=False
2026-01-19T22:51:02.743852 | INFO     | wrapper      | Session event: command_execution_completed | {"session_id":"525ae86f-81b2-449e-bf8c-5e326977ae34"}
2026-01-19T22:51:02.772614 | INFO     | wrapper      | Session event: command_execution_started | {"session_id":"525ae86f-81b2-449e-bf8c-5e326977ae34"}
2026-01-19T22:51:02.903422 | INFO     | wrapper      | Command execution completed: session_id=525ae86f-81b2-449e-bf8c-5e326977ae34, command=sh, exit_code=0, time=130ms, session_created=False
2026-01-19T22:51:02.903666 | INFO     | wrapper      | Session event: command_execution_completed | {"session_id":"525ae86f-81b2-449e-bf8c-5e326977ae34"}
2026-01-19T22:51:02.914440 | INFO     | session_manager | Stopping managed session 525ae86f-81b2-449e-bf8c-5e326977ae34
2026-01-19T22:51:13.600132 | INFO     | session_manager | Successfully stopped managed session 525ae86f-81b2-449e-bf8c-5e326977ae34
2026-01-19T22:51:13.600712 | INFO     | session_manager | Stopped session 525ae86f-81b2-449e-bf8c-5e326977ae34
2026-01-19T22:51:13.638129 | WARNING  | session_manager | Attempted to stop non-existent session 0edc15f0-7208-4020-8f11-c6e6e20183e9
2026-01-19T22:51:14.000909 | INFO     | session_manager | Created managed session 1017ccee-e91a-4c6f-bf73-25405a1098ba with template=python, flavor=small, sandbox_name=sandbox-20260119_225114_000882
2026-01-19T22:51:14.000996 | INFO     | session_manager | Created new session 1017ccee-e91a-4c6f-bf73-25405a1098ba
2026-01-19T22:51:14.001029 | INFO     | wrapper      | Session event: command_execution_started | {"session_id":"1017ccee-e91a-4c6f-bf73-25405a1098ba"}
2026-01-19T22:51:14.001121 | INFO     | session_manager | Creating sandbox for session 1017ccee-e91a-4c6f-bf73-25405a1098ba with template=python
2026-01-19T22:51:14.514362 | INFO     | session_manager | Successfully created and started sandbox for session 1017ccee-e91a-4c6f-bf73-25405a1098ba
2026-01-19T22:51:14.699356 | INFO     | wrapper      | Command execution completed: session_id=1017ccee-e91a-4c6f-bf73-25405a1098ba, command=sh, exit_code=0, time=184ms, session_created=True
2026-01-19T22:51:14.700147 | INFO     | wrapper      | Session event: command_execution_completed | {"session_id":"1017ccee-e91a-4c6f-bf73-25405a1098ba"}
2026-01-19T22:51:14.728729 | INFO     | session_manager | Stopping managed session 1017ccee-e91a-4c6f-bf73-25405a1098ba
2026-01-19T22:51:25.140032 | INFO     | session_manager | Successfully stopped managed session 1017ccee-e91a-4c6f-bf73-25405a1098ba
2026-01-19T22:51:25.141680 | INFO     | session_manager | Stopped session 1017ccee-e91a-4c6f-bf73-25405a1098ba
